method,category,peak_snr,autocorr_rr,n_peaks,smoothness,ecg_bandpower_ratio,peak_consistency,hr_std_ratio,composite
D1. FFT Gate (0.5-40Hz),D-Freq,11.7754,-0.0167,48,0.0288,0.9997,0.9796,0.2947,5.0663
D2. FFT Notch (50/100/150Hz),D-Freq,9.6026,-0.0546,48,0.1971,0.8740,0.9796,0.2948,3.9600
B3. Notch50+100+150 + BP,B-Classical,9.5574,-0.0708,46,0.0288,0.9676,0.9388,0.3252,3.9065
B2. Bandpass 1-30Hz,B-Classical,9.2675,-0.1347,45,0.0194,0.9906,0.9184,0.3451,3.6179
B7. Wiener (5),B-Classical,8.0358,-0.0269,47,0.5101,0.8022,0.9592,0.3219,3.1946
D3. Spectral Subtraction,D-Freq,7.3425,0.0797,48,0.7987,0.6844,0.9796,0.2970,3.0043
B1. Bandpass 0.5-40Hz,B-Classical,7.8895,0.0598,45,0.8028,0.6987,0.9184,0.3450,2.8138
G4. Notch+BP+SSA(r=5),G-Combined,7.2572,-0.0987,42,0.0001,0.9542,0.8571,0.3255,2.5769
C2. Subband (L3, mild),C-Subband,6.8889,-0.0801,43,0.0191,0.8689,0.8776,0.3592,2.4022
C1. Subband Soft (L4),C-Subband,5.9445,-0.0804,46,0.0130,0.8428,0.9388,0.2591,2.3921
C4. Subband + Bandpass,C-Subband,4.4195,-0.0406,46,0.0029,0.9293,0.9388,0.2591,2.1889
G2. Subband + Bandpass,G-Combined,4.4195,-0.0406,46,0.0029,0.9293,0.9388,0.2591,2.1889
F4. ICA (r=5, ¦Ó=50),F-ML,7.4508,-0.0750,41,0.0000,0.7490,0.8367,0.3248,2.0549
C3. Subband (L3, strong),C-Subband,3.9119,-0.0726,47,0.0040,0.8605,0.9592,0.3084,1.9078
B4. Savitzky-Golay (21,3),B-Classical,2.4036,0.0897,48,0.9648,0.5779,0.9796,0.2928,1.1365
F3. PCA + Bandpass,F-ML,5.9963,-0.1413,41,0.7786,0.6201,0.8367,0.3376,1.1041
B5. Savitzky-Golay (31,5),B-Classical,2.0637,0.0877,48,0.9593,0.5840,0.9796,0.2923,1.0364
B6. Median Filter (w=11),B-Classical,0.3844,0.5413,46,0.6427,0.2386,0.9388,0.2761,0.3076
G5. Equal-Weight Ensemble,G-Combined,2.2002,0.3706,51,13.8136,0.0890,0.9608,0.2196,0.0037
G3. SSA(r=3)+Subband,G-Combined,1.6370,0.1462,43,0.0035,0.3669,0.8776,0.2782,-0.1119
A7. SSA (rank=3),A-SVD,2.8262,0.9680,49,89.0316,0.0019,1.0000,0.2026,-0.3437
A3. SSA (rank=5),A-SVD,2.9757,0.9674,52,89.0298,0.0080,0.9423,0.2424,-0.6245
A4. Beat-Aligned SVD,A-SVD,1.3829,0.9569,49,85.3175,0.0147,1.0000,0.2571,-0.7192
A5. Block-SVD,A-SVD,1.3591,0.1802,45,89.0573,0.0186,0.9184,0.3449,-2.8652
A2. SSA (90% energy),A-SVD,3.5392,-0.8468,49,89.0303,0.0172,1.0000,0.2638,-3.7466
F2. PCA (r=8, ¦Ó=80),F-ML,3.2253,-0.8467,48,89.0365,0.0174,0.9796,0.2397,-3.9705
E3. RLS (¦Ë=0.99, ord=30),E-Adaptive,1.6845,-0.7030,49,89.0106,0.0225,1.0000,0.2746,-4.0494
G1. Ensemble SSA,G-Combined,3.1087,-0.7118,53,89.0347,0.0088,0.9245,0.1585,-4.0851
A6. Wiener SVD,A-SVD,1.4246,-0.7025,49,89.2345,0.0236,1.0000,0.2853,-4.1361
F1. PCA (r=5, ¦Ó=50),F-ML,3.4614,-0.8477,46,89.0429,0.0155,0.9388,0.3188,-4.1434
E2. NLMS (¦Ě=0.3, ord=30),E-Adaptive,1.6544,-0.7108,47,88.4920,0.0124,0.9592,0.5875,-4.3315
A1. Standard SVD (r=5),A-SVD,2.3821,-0.8584,45,89.0578,0.0129,0.9184,0.2160,-4.6471
E1. LMS (¦Ě=0.01, ord=30),E-Adaptive,0.0000,0.0000,0,0.0000,nan,0.0000,999.0000,-7.0893
